id;year;year2;month;periodo;elec;bar;ns;nc;blanco;novoto;psoe;pp
1;1993;93;ELEC.;1;1;;;;;;29,5;26,4
2;1994;94;Enero;1;0;2077;3,2;12,6;1,4;12,7;32,2;19,3
3;1994;94;Abril;1;0;2087;4,8;11,2;2,1;14,7;29,7;18,4
4;1994;94;Julio;1;0;2110;3,9;9,7;1,6;12,2;30,9;21,1
5;1994;94;Octubre;1;0;2118;4,9;11,3;2,6;15,3;26,8;20,3
6;1995;95;Enero;1;0;2130;4,2;10,6;2,1;13,3;31,1;17,7
7;1995;95;Abril;1;0;2156;5,4;9,1;1,3;14,2;29,2;18,8
8;1995;95;Julio;1;0;2188;5,3;9,7;1,4;11,4;33,1;18,1
9;1995;95;Octubre;1;0;2194;5,1;11,1;2,3;13,2;29;18,7
10;1996;96;Enero;1;0;2204;5,2;8,6;1,8;13,2;31,2;19,4
11;1996;96;ELEC.;2;1;;;;;;29;29,9
12;1996;96;Abril;2;0;2212;0;15,7;1,5;13,3;26;25,3
13;1996;96;Julio;2;0;2220;1,5;11,3;2;12,1;26,1;29
14;1996;96;Octubre;2;0;2225;2,1;9,3;2,5;12,4;29,3;27,3
15;1997;97;Enero;2;0;2233;2,4;11,3;2,1;13,3;25,6;26,9
16;1997;97;Abril;2;0;2244;3,1;9,6;2,8;14,1;27,3;26,3
17;1997;97;Julio;2;0;2254;2,6;9,1;2,4;12,2;29,1;26,3
18;1997;97;Octubre;2;0;2264;2,7;8,6;2,5;14,1;27,1;27,2
19;1998;98;Enero;2;0;2274;3,2;10,5;1,6;13,9;26,2;25,8
20;1998;98;Abril;2;0;2285;4,1;8,5;2,8;13,4;26,6;26,2
21;1998;98;Julio;2;0;2294;3,8;9,8;1,9;12,6;25,7;27,2
22;1998;98;Octubre;2;0;2307;5,5;9,3;2,1;13,9;24,7;26,5
23;1999;99;Enero;2;0;2316;4,6;8,6;2,7;13,2;25,2;27,6
24;1999;99;Abril;2;0;2324;5,4;10,3;2;11;24,7;26,5
25;1999;99;Julio;2;0;2367;5,7;8,8;1,7;13,7;25;26,6
26;1999;99;Octubre;2;0;2372;6,2;8,7;2;14;25,1;26
27;2000;0;Enero;2;0;2381;5,1;9,5;1,8;13,9;21,8;28,6
28;2000;0;ELEC.;3;1;;;;;;23,3;30,4
29;2000;0;Abril;3;0;2389;1;11,7;2,9;18;18,9;33,4
30;2000;0;Julio;3;0;2396;2,1;12,4;2,6;17;20,1;32,6
31;2000;0;Octubre;3;0;2400;2,8;11,2;2;16,9;21;31,7
32;2001;1;Enero;3;0;2406;2,1;10,5;3,1;16,3;24;30,7
33;2001;1;Abril;3;0;2415;3,3;9,8;2,5;14,3;23,2;31,1
34;2001;1;Julio;3;0;2428;2,9;9,7;2,1;16,9;25,5;29,2
35;2001;1;Octubre;3;0;2433;3,6;8,9;2,6;15;24,8;29,9
36;2002;2;Enero;3;0;2444;3,6;11;2,4;15,1;22;31,2
37;2002;2;Abril;3;0;2454;3,5;8,2;2,8;17;23,2;31,4
38;2002;2;Julio;3;0;2463;3,3;9,7;2,2;16,9;24,7;29,5
39;2002;2;Octubre;3;0;2468;3,3;9;2,5;16,2;25,6;27,8
40;2003;3;Enero;3;0;2477;4,1;8,8;2,7;15,5;24;28,7
41;2003;3;Abril;3;0;2508;3,8;7,3;2,3;13,8;27,4;28
42;2003;3;Julio;3;0;2531;4,4;8,4;2;13,7;27;26,6
43;2003;3;Octubre;3;0;2541;3,8;9,6;2,4;12,5;26,2;29,8
44;2004;4;Enero;3;0;2554;4,5;10,2;1,8;15,3;24,3;27,1
